key,nome,nomeunita1,daprof,aprof,litologia,etarel,a
192803,115,GRUPPO SERIE MARINO-CONTIN.,0.0,50.0,CONGLOMERATO,PLIOCENE-INF,
54510,116,LIGURIDI S.L.,0.0,664.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
505215,117,GRUPPO SERIE MARINO-CONTIN.,0.0,105.0,CONGLOMERATO,PLIOCENE-INF,
733116,118,GRUPPO SERIE OFIOLITIFERA F.L.,0.0,211.0,OFIOLITE,GIURASSICO,
1008443,119,LIGURIDI S.L.,0.0,508.0,ARGILLITE-CALCARE MARNOSO-CALCARE SILICEO,CRETACEO,EOCENE
246863,120,LIGURIDI S.L.,0.0,580.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,EOCENE
376381,121,GRUPPO FORMAZIONI CONTINENTALI,0.0,55.0,ARGILLITE-CALCARE MICRITICO,QUATERNARIO,
488706,122,GRUPPO DELLA SERIE OFIOLITICA,0.0,135.0,SERPENTINITI,GIURASSICO,
1009611,123,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,167.0,ARGILLA conglomerato,NEOGENE,
112378,124,LIGURIDI S.L.,0.0,640.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,EOCENE
1008738,125,LIGURIDI S.L.,0.0,551.0,ARGILLITE CALCARE MARNOSO,CRETACEO,EOCENE
1007668,126,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,269.0,CONGLOMERATO ARGILLA,NEOGENE,
576947,127,LIGURIDI S.L.,0.0,610.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,EOCENE
1001120,128,LIGURIDI S.L.,0.0,472.0,ARGILLITE CALCARE MARNOSO CALCARE SILICEO,CRETACEO,EOCENE
1007549,129,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,155.0,CONGLOMERATO ARGILLA GESSO,NEOGENE,
1009522,130,GR. F. SERIE MARINO-CONTINENTALI,0.0,80.0,CONGLOMERATO-SABBIA-ARGILLA,PLIOCENE-I,
1005106,131,LIGURIDI S.L.,0.0,610.0,ARGILLITE CALCARE MARNOSO,CRETACEO,EOCENE
4846018,131,VULCANITI,0.0,273.2,PIROCLASTITI E LAVE,QUATERNARIO,
1001460,132,LIGURIDI S.L.,0.0,575.0,ARGILLITE CALCARE MARNOSO CALCARE SILICEO,CRETACEO,EOCENE
4846021,132,VULCANITI,0.0,235.0,PIROCLASTITI E LAVE,QUATERNARIO,
1001531,133,GR. F. SERIE MARINO-CONTINENTALI,0.0,200.0,COGLOMERATO ARGILLA MARNOSA,PLIOCENE-I,
1002707,134,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,50.0,CONGLOMERATO ARGILLA,NEOGENE,
4846023,134,VULCANITI,0.0,260.0,PIROCLASTITI E LAVE,QUATERNARIO,
1003163,135,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,200.0,CONGLOMERATO ARGILLA,NEOGENE,
4846012,135,VULCANITI,0.0,294.0,PIROCLASTITI E LAVE,QUATERNARIO,
231728,136,LIGURIDI S.L.,0.0,630.0,ARGILLITE-CALCARE MARNOSO-CALCARE SILICEO-ARENARIA,CRETACEO,EOCENE
1002126,137,LIGURIDI S.L.,0.0,398.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
